,WID,Label,Eth Balance,Txn Count,Exchange,ERC 20 Txn,ERC 20 Txn In,ERC 20 Txn Out,ERC721 Txn Out,ERC721 Txn In,ERC721 Txn
135,0xddfabcdc4d8ffc6d5beaf154f18b778f892a0740,Coinbase 3,"12,856.08122619 Ether",,Y,,,,,,
136,0x3cd751e6b0078be393132286c442345e5dc49699,Coinbase 4,"9,190.57305543 Ether",,Y,,,,,,
137,0xb5d85cbf7cb3ee0d56b3bb207d5fc4b82f43f511,Coinbase 5,"5,744.56926616 Ether",,Y,,,,,,
138,0xeb2629a2734e272bcc07bda959863f316f4bd4cf,Coinbase 6,"6,550.00804831 Ether",,Y,,,,,,
139,0x9539e0b14021a43cde41d9d45dc34969be9c7cb0,Coinbene,0.00098921 Ether,,Y,,,,,,
140,0x33683b94334eebc9bd3ea85ddbda4a86fb461405,Coinbene: Cold Wallet,0.99772903 Ether,,Y,,,,,,
141,0xb6ba1931e4e74fd080587688f6db10e830f810d5,Coindelta,0.0021802 Ether,,Y,,,,,,
142,0xbf1a97d8d4229d61b031214d5bbe9a5cb1e737f9,CoinDhan,0.40604668 Ether,,Y,,,,,,
143,0xb9ee1e551f538a464e8f8c41e9904498505b49b0,Coinex,0.79108379 Ether,,Y,,,,,,
144,0x33ddd548fe3a082d753e5fe721a26e1ab43e3598,Coinex 2,"1,539.28586764 Ether",,Y,,,,,,
145,0x4b01721f0244e7c5b5f63c20942850e447f5a5ee,CoinExchange.io,0.49478542 Ether,,Y,,,,,,
146,0xd4bddf5e3d0435d7a6214a0b949c7bb58621f37c,Coinhako,104.6908103 Ether,,Y,,,,,,
147,0xf2d4766ad705e3a5c9ba5b0436b473085f82f82f,Coinhako: Warm Wallet,"14,338.39956011 Ether",,Y,,,,,,
148,0xa270f3ad1a7a82e6a3157f12a900f1e25bc4fbfd,CoinMetro Exchange,64.33474419 Ether,,Y,,,,,,
149,0x167a9333bf582556f35bd4d16a7e80e191aa6476,Coinone,"8,120.10241735 Ether",,Y,,,,,,
150,0x1e2fcfd26d36183f1a5d90f0e6296915b02bcb40,Coinone 2,"101,500.89607989 Ether",,Y,,,,,,
151,0xd0808da05cc71a9f308d330bc9c5c81bbc26fc59,Coinswitch,0.06466426 Ether,,Y,,,,,,
152,0x8705ccfd8a6df3785217c307cbebf9b793310b94,CoinW,0.36869709 Ether,,Y,,,,,,
153,0xcb243bf48fb443082fae7db47ec96cb120cd6801,CoinW 2,0.68019049 Ether,,Y,,,,,,
154,0x429bf8ec3330e02401d72beade86000d9a2e19eb,CoinW 3,21.58316825 Ether,,Y,,,,,,
155,0x6f31d347457962c9811ff953742870ef5a755de3,CoinW 4,0.10361269 Ether,,Y,,,,,,
156,0x0d6b5a54f940bf3d52e438cab785981aaefdf40c,COSS.io 1,2.47415066 Ether,,Y,,,,,,
157,0xd1560b3984b7481cd9a8f40435a53c860187174d,COSS.io: Old Warm Wallet,0.21397654 Ether,,Y,,,,,,
158,0x43f07efe28e092a0fe4ec5b5662022b461ffac80,COSS.io: Warm Wallet,0.04938769 Ether,,Y,,,,,,
159,0x521db06bf657ed1d6c98553a70319a8ddbac75a3,CREX24,4.9979 Ether,,Y,,,,,,
160,0x6262998ced04146fa42253a5c0af90ca02dfd2a3,Crypto.com,"343,659.45519637 Ether",,Y,,,,,,
161,0x46340b20830761efd32832a74d7169b29feb9758,Crypto.com 2,"4,256.71042162 Ether",,Y,,,,,,
162,0x5baeac0a0417a05733884852aa068b706967e790,Cryptopia 1,0 Ether,,Y,,,,,,
163,0x2984581ece53a4390d1f568673cf693139c97049,Cryptopia 2,0.39078397 Ether,,Y,,,,,,
164,0xe17ee7b3c676701c66b395a35f0df4c2276a344e,DigiFinex,0.0070897 Ether,,Y,,,,,,
165,0x2101e480e22c953b37b9d0fe6551c1354fe705e6,DMEX,23.96968225 Ether,,Y,,,,,,
166,0xf1c525a488a848b58b95d79da48c21ce434290f7,Eidoo,1.11390308 Ether,,Y,,,,,,
167,0x608f94df1c1d89ea13e5984d7bf107df137a6541,Eigen Fx,0 Ether,,Y,,,,,,
168,0xeb9ebf2c624ebee42e0853da6443ddc6c8020de7,Eigen Fx 2,0 Ether,,Y,,,,,,
169,0x8d76166c22658a144c0211d87abf152e6a2d9d95,Eterbase,0.00359517 Ether,,Y,,,,,,
170,0xd3808c5d48903be1490989f3fce2a2b3890e8eb6,Exchange A,0.00749664 Ether,,Y,,,,,,
171,0x1fd6267f0d86f62d88172b998390afee2a1f54b6,Exmo 1,0 Ether,,Y,,,,,,
172,0xd7b9a9b2f665849c4071ad5af77d8c76aa30fb32,Exmo 2,0.46052878 Ether,,Y,,,,,,
173,0x94fe3ad91dacba8ec4b82f56ff7c122181f1535d,Faa.st,0.90623477 Ether,,Y,,,,,,
174,0x915d7915f2b469bb654a7d903a5d4417cb8ea7df,FCoin,0 Ether,,Y,,,,,,
175,0x4e5b2e1dc63f6b91cb6cd759936495434c7e972f,FixedFloat,183.5117623 Ether,,Y,,,,,,
176,0x14301566b9669b672878d86ff0b1d18dd58054e9,Flata.Exchange,12.58448413 Ether,,Y,,,,,,
